Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0085,0,-0.0377,0,0,0,42.0639,0.516,0.0008,0.0248,1.7809,-0.0006,1.9712,0,0,0,0,0,0,package://RB160W/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/base_link.STL,,Base-2,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip,0.0647,-0.0402,0,0,0,0,2.4,0.0054,0.0015,0,0.0068,0,0.0069,0,0,0,0,0,0,package://RB160W/meshes/FR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/FR_hip.STL,,FR_hip-1,O-FR_hip,A-FR_hip,FR_hip_joint,revolute,0.249,-0.1,-0.0666,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.0003,-0.042,-0.2193,0,0,0,3.606,0.0349,0,0.0001,0.0356,-0.0037,0.0063,0,0,0,0,0,0,package://RB160W/meshes/FR_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/FR_thigh.STL,,FR_thigh-1,O-FR_thigh,A-FR_thigh,FR_thigh_joint,revolute,0.0915,-0.106,0,0,0,0,FR_hip,0,1,0,0,0,0,0,,,,,,,,
FR_calf,-0.0002,0.0106,-0.2728,0,0,0,3.1193,0.0503,0,-0.0001,0.0511,-0.0023,0.0042,0,0,0,0,0,0,package://RB160W/meshes/FR_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/FR_calf.STL,,FR_calf-1,O-FR_calf,A-FR_calf,FR_calf_joint,revolute,0,-0.014,-0.27,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_WHEEL,0,-0.0011,0,0,0,0,0.8623,0.0022,0,0,0.0041,0,0.0022,0,0,0,0,0,0,package://RB160W/meshes/FR_WHEEL.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/FR_WHEEL.STL,,FR_WHEEL-1,O-FR_WHEEL,A-FR_WHEEL,FR_WHEEL_joint,revolute,0,-0.0392,-0.351,0,0,0,FR_calf,0,-1,0,0,0,0,0,,,,,,,,
RL_hip,-0.0647,0.0402,0,0,0,0,2.4,0.0054,0.0015,0,0.0068,0,0.0069,0,0,0,0,0,0,package://RB160W/meshes/RL_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/RL_hip.STL,,RL_hip-1,O-RL_hip,A-RL_hip,RL_hip_joint,revolute,-0.249,0.1,-0.0666,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RL_thigh,0.0003,0.042,-0.2193,0,0,0,3.606,0.0349,0,-0.0001,0.0356,0.0037,0.0063,0,0,0,0,0,0,package://RB160W/meshes/RL_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/RL_thigh.STL,,RL_thigh-1,O-RL_thigh,A-RL_thigh,RL_thigh_joint,revolute,-0.0915,0.106,0,0,0,0,RL_hip,0,-1,0,0,0,0,0,,,,,,,,
RL_calf,0.0002,-0.0106,-0.2728,0,0,0,3.1193,0.0503,0,0.0001,0.0511,0.0023,0.0042,0,0,0,0,0,0,package://RB160W/meshes/RL_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/RL_calf.STL,,RL_calf-1,O-RL_calf,A-RL_calf,RL_calf_joint,revolute,0,0.014,-0.27,0,0,0,RL_thigh,0,1,0,0,0,0,0,,,,,,,,
RL_WHEEL,0,0.0011,0,0,0,0,0.8623,0.0022,0,0,0.0041,0,0.0022,0,0,0,0,0,0,package://RB160W/meshes/RL_WHEEL.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/RL_WHEEL.STL,,RL_WHEEL-1,O-RL_WHEEL,A-RL_WHEEL,RL_WHEEL_joint,revolute,0,0.0392,-0.351,0,0,0,RL_calf,0,1,0,0,0,0,0,,,,,,,,
RR_hip,-0.0647,-0.0402,0,0,0,0,2.4,0.0054,-0.0015,0,0.0068,0,0.0069,0,0,0,0,0,0,package://RB160W/meshes/RR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RB160W/meshes/RR_hip.STL,,RR_hip-1,O-RR_hip,A-RR_hip,RR_hip_joint,revolute,-0.249,-0.1,-0.0666,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
